date,home_team,away_team,winner
1995-06-13,Sweden,China PR,China PR
1998-12-15,North Korea,Taiwan,North Korea
1999-07-10,Brazil,Norway,Brazil
1999-07-10,United States,China PR,United States
1999-08-02,Canada,Mexico,Mexico
1999-08-04,Canada,Costa Rica,Costa Rica
2001-09-12,Vietnam,Myanmar,Vietnam
2006-12-13,Japan,North Korea,North Korea
2009-03-12,France,New Zealand,France
2009-12-16,Thailand,Vietnam,Vietnam
2011-06-15,Colombia,Denmark,Colombia
2011-07-09,England,France,France
2011-07-10,Brazil,United States,United States
2011-07-17,Japan,United States,Japan
2011-10-27,Brazil,Canada,Canada
2012-03-06,New Zealand,Netherlands,Netherlands
2012-03-06,South Korea,Finland,South Korea
2013-03-11,Slovenia,Bosnia and Herzegovina,Slovenia
2013-03-11,Russia,Czech Republic,Russia
2013-03-13,South Africa,Northern Ireland,South Africa
2013-12-18,Myanmar,Thailand,Thailand
2014-03-12,Scotland,South Korea,South Korea
2015-03-11,Northern Ireland,Bosnia and Herzegovina,Bosnia and Herzegovina
2015-03-11,Croatia,Wales,Wales
2015-03-11,South Korea,Belgium,South Korea
2015-06-26,Germany,France,Germany
2017-03-08,Belgium,Austria,Belgium
2017-03-08,Scotland,Wales,Scotland
2018-03-06,Poland,Ukraine,Ukraine
2018-03-07,Wales,Austria,Austria
2018-08-24,Taiwan,Vietnam,Taiwan
2019-03-04,Croatia,Montenegro,Montenegro
2019-03-05,India,Kazakhstan,Kazakhstan
2019-03-06,Austria,Belgium,Belgium
2019-03-06,North Korea,Italy,North Korea
2019-06-22,Norway,Australia,Norway
2019-08-09,Argentina,Colombia,Colombia
2019-09-01,Brazil,Chile,Chile
2019-11-10,China PR,Brazil,China PR
2021-04-13,Switzerland,Czech Republic,Switzerland
2021-06-10,Estonia,Faroe Islands,Faroe Islands
2021-07-30,Canada,Brazil,Canada
2021-07-30,Netherlands,United States,United States
2021-08-06,Sweden,Canada,Canada
2021-09-25,Jordan,Iran,Iran
2021-10-26,Ethiopia,Uganda,Uganda
2022-01-30,Taiwan,Philippines,Philippines
2022-02-03,China PR,Japan,China PR
2022-02-16,Hungary,Russia,Russia
2022-02-19,Wales,Belgium,Belgium
2022-02-22,Scotland,Hungary,Scotland
2022-02-22,Belgium,Russia,Belgium
2022-02-22,Mali,Senegal,Senegal
2022-02-23,Sweden,Italy,Sweden
2022-07-13,Zambia,Senegal,Zambia
2022-07-17,Senegal,Tunisia,Senegal
2022-07-18,Morocco,Nigeria,Morocco
2022-07-23,Papua New Guinea,Tonga,Papua New Guinea
2022-07-24,Chile,Venezuela,Chile
2022-07-30,Samoa,Solomon Islands,Solomon Islands
2023-02-19,Taiwan,Paraguay,Paraguay
2023-04-06,England,Brazil,England
2023-08-06,Sweden,United States,Sweden
2023-08-07,England,Nigeria,England
2023-08-12,Australia,France,Australia